system   D            wsystem.c:583  maybe_parent_dir                 [   0.00056] Also searching D:\Xkonti\GitHub\RoboSim\
display  D   display_settings.c:506  _al_score_display_settings       [   0.83150] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83151] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83153] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83154] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83155] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.83156] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83158] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83159] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83160] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83161] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83163] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83164] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83166] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83167] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83168] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83169] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83171] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83172] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83173] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83174] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83176] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83177] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83178] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83180] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83181] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83182] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83184] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83185] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83186] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83188] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83189] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83190] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83192] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83193] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83194] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83195] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83197] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83198] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83199] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83201] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83202] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83203] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83205] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83206] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83207] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83208] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83210] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83211] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83212] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83213] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83215] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83216] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83217] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83218] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83220] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83221] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83222] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83223] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83225] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83226] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83227] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83229] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83230] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83231] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83233] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83234] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83235] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83236] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.83238] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.83239] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83240] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83241] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83243] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83244] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83245] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83247] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83248] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83249] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83251] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83252] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83254] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83257] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83258] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83259] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83261] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83262] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83266] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83268] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83269] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83270] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83271] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83273] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83274] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83275] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83277] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83278] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83279] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83281] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.83282] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.83283] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.83286] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.83331] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.83336] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.84091] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.85315] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.85320] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.85324] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.85328] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.85332] Returning d3d_display: 010BD928
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.85334] al_display=010BD928
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.85335] al_display->vt=010BD860
dtor     D               dtor.c:184  _al_register_destructor          [   0.85495] added dtor for object 050485E8, func 5AAD27A7
